gene,chromosome,start,end,band,length,type
ARID3C,chr9,34621376,34628104,9p,6728,protein-coding
HOMER2P1,chr14,106916017,106916980,14q,963,pseudogene
PRKCI,chr3,169940153,170023769,3q,83616,protein-coding
PDE9A,chr21,44073746,44195619,21q,121873,protein-coding
MANF,chr3,51422478,51426828,3p,4350,protein-coding
ILK,chr11,6624961,6632102,11p,7141,protein-coding
IGHV3-42,chr14,106919183,106919483,14q,300,pseudogene
ESD,chr13,47345391,47371367,13q,25976,protein-coding
CA11,chr19,49141199,49149569,19q,8370,protein-coding
CCR10,chr17,40830907,40835935,17q,5028,protein-coding
ZNF467,chr7,149461271,149470568,7q,9297,protein-coding
TIA1,chr2,70436576,70475792,2p,39216,protein-coding
C17orf98,chr17,36991341,36997708,17q,6367,NA
REG1A,chr2,79347488,79350545,2p,3057,protein-coding
ZNF805,chr19,57751973,57766503,19q,14530,protein-coding
FAM83B,chr6,54711569,54806820,6p,95251,protein-coding
PRRG1,chrX,37208528,37316548,Xp,108020,protein-coding
GET4,chr7,916189,936073,7p,19884,protein-coding
SIGMAR1,chr9,34634719,34637806,9p,3087,protein-coding
FAM186A,chr12,50720013,50790405,12q,70392,protein-coding
TNRC18,chr7,5346421,5465045,7p,118624,protein-coding
HIBCH,chr2,191054461,191208919,2q,154458,protein-coding
ICOS,chr2,204801471,204826300,2q,24829,protein-coding
TLN2,chr15,62682725,63136830,15q,454105,protein-coding
IGHVII-43-1,chr14,106928717,106928888,14q,171,pseudogene
IGHVIII-44,chr14,106934226,106934399,14q,173,pseudogene
LINC00221,chr14,106938445,106977000,14q,38555,ncRNA
ZNF460,chr19,57791419,57804937,19q,13518,protein-coding
RN7SL238P,chr15,28632351,28632629,15q,278,pseudogene
INTS8,chr8,95825539,95893974,8q,68435,protein-coding
ABCB10P3,chr15,28648014,28650179,15q,2165,pseudogene
RPL23,chr17,37004118,37010096,17q,5978,protein-coding
CTDSP1,chr2,219262979,219270664,2q,7685,protein-coding
SSBP3,chr1,54691105,54879152,1p,188047,protein-coding
DEGS2,chr14,100612756,100626500,14q,13744,protein-coding
NTN5,chr19,49164664,49176338,19q,11674,protein-coding
HCRTR2,chr6,55039050,55147418,6p,108368,protein-coding
ZNF543,chr19,57831877,57842144,19q,10267,protein-coding
ABCB10P4,chr15,28751771,28753954,15q,2183,pseudogene
ZNF862,chr7,149535456,149564568,7q,29112,protein-coding
HTR3B,chr11,113775399,113817287,11q,41888,protein-coding
AGAP8,chr10,51224681,51371321,10q,146640,NA
RN7SL829P,chr15,28769299,28769577,15q,278,NA
LANCL3,chrX,37430822,37543716,Xp,112894,protein-coding
HTR2A,chr13,47405685,47471169,13q,65484,protein-coding
ZNF707,chr8,144766622,144796068,8q,29446,protein-coding
ACOXL,chr2,111490150,111875799,2q,385649,protein-coding
BFSP1,chr20,17474550,17549865,20p,75315,protein-coding
BPIFC,chr22,32809834,32860471,22q,50637,protein-coding
ZNF304,chr19,57862675,57871266,19q,8591,protein-coding
MOCS3,chr20,49575363,49577820,20q,2457,protein-coding
TNFRSF11A,chr18,59992520,60058516,18q,65996,protein-coding
PTPN14,chr1,214522039,214725792,1q,203753,protein-coding
PPIL6,chr6,109711418,109762374,6q,50956,protein-coding
RPL17P35,chr10,66380131,66380679,10q,548,pseudogene
XK,chrX,37545012,37591383,Xp,46371,protein-coding
FUT2,chr19,49199228,49209207,19q,9979,protein-coding
ABL1,chr9,133589333,133763062,9q,173729,protein-coding
CYP2C61P,chr10,66522640,66522929,10q,289,pseudogene
DNMT1,chr19,10244021,10341962,19p,97941,protein-coding
ANXA2P3,chr10,66585329,66586336,10q,1007,pseudogene
KCNG1,chr20,49620193,49639666,20q,19473,protein-coding
ZNF547,chr19,57874845,57890933,19q,16088,protein-coding
NEK4P3,chr10,66814218,66814761,10q,543,pseudogene
MYL6P3,chr10,66929196,66929627,10q,431,pseudogene
ZNF676,chr19,22361893,22379753,19p,17860,protein-coding
RN7SL306P,chr7,128610788,128611087,7q,299,pseudogene
ODCP,chr7,128668943,128670581,7q,1638,pseudogene
CSH2,chr17,61949372,61951126,17q,1754,protein-coding
FDPSP7,chr7,76597514,76598567,7q,1053,pseudogene
ZNF729,chr19,22469210,22499978,19p,30768,protein-coding
TPI1P2,chr7,128696073,128696824,7q,751,pseudogene
DTX2P1,chr7,76607934,76673092,7q,65158,pseudogene
CYBB,chrX,37639264,37672714,Xp,33450,protein-coding
TRAPPC2P1,chr19,57874879,57876721,19q,1842,NA
MRPL14,chr6,44081194,44095194,6p,14000,protein-coding
ZNF98,chr19,22573821,22715287,19p,141466,protein-coding
MAMSTR,chr19,49215999,49222978,19q,6979,protein-coding
PSMD3,chr17,38137050,38154213,17q,17163,protein-coding
GPHN,chr14,66974125,67648520,14q,674395,protein-coding
IKBKB,chr8,42128820,42189973,8p,61153,protein-coding
SLC4A1AP,chr2,27886338,27917840,2p,31502,protein-coding
DTX2P1-UPK3BP1-PMS2P11,chr7,76610266,76673092,7q,62826,other
CRYBA1,chr17,27573881,27581512,17q,7631,protein-coding
HLF,chr17,53342373,53402426,17q,60053,protein-coding
HTR3A,chr11,113845603,113861035,11q,15432,protein-coding
LCA5,chr6,80194708,80247175,6q,52467,protein-coding
MAP1A,chr15,43803156,43823818,15q,20662,protein-coding
GALT,chr9,34638130,34651032,9p,12902,protein-coding
DSTN,chr20,17550508,17590564,20p,40056,protein-coding
FBXL18,chr7,5470966,5553429,7p,82463,protein-coding
PIK3CB,chr3,138372860,138553780,3q,180920,protein-coding
YME1L1,chr10,27399383,27444195,10p,44812,protein-coding
ZNF492,chr19,22817126,22850472,19p,33346,protein-coding
SUCLA2,chr13,48510622,48612125,13q,101503,protein-coding
HERC2P9,chr15,28834638,28930410,15q,95772,pseudogene
ZNF548,chr19,57901218,57912786,19q,11568,protein-coding
ADAP1,chr7,937540,995043,7p,57503,protein-coding
FGD4,chr12,32552463,32798984,12p,246521,protein-coding
TUBBP6,chr7,55713313,55714644,7p,1331,pseudogene
PI4KB,chr1,151264273,151300191,1q,35918,protein-coding
ZNF99,chr19,22939007,22966909,19p,27902,protein-coding
POLD2,chr7,44154286,44163957,7p,9671,protein-coding
ABHD1,chr2,27346682,27353680,2p,6998,protein-coding
PARD3B,chr2,205410516,206484886,2q,1074370,protein-coding
TUSC7,chr3,116428082,116442428,3q,14346,ncRNA
FKBP9L,chr7,55748767,55780945,7p,32178,NA
MPP4,chr2,202509593,202563417,2q,53824,protein-coding
MIR1252,chr12,79813037,79813101,12q,64,NA
LARP4,chr12,50786166,50873787,12q,87621,protein-coding
FBXO7,chr22,32870663,32894818,22q,24155,protein-coding
TMEM63B,chr6,44094651,44123256,6p,28605,protein-coding
SH3BGRL2,chr6,80341000,80413372,6q,72372,protein-coding
MIR4447,chr3,116569124,116569214,3q,90,NA
ZNF728,chr19,23158270,23185978,19p,27708,protein-coding
LINC00901,chr3,116640278,116651085,3q,10807,ncRNA
PPP1R27,chr17,79791368,79792926,17q,1558,protein-coding
OR12D3,chr6,29341200,29343068,6p,1868,protein-coding
RNU5E-8P,chr3,116683959,116684074,3q,115,pseudogene
RNU6-389P,chr7,55753670,55753774,7p,104,pseudogene
PTMAP8,chr3,116745545,116745886,3q,341,pseudogene
QRFP,chr9,133768815,133769225,9q,410,protein-coding
CCDC174,chr3,14693271,14714166,3p,20895,protein-coding
CCDC166,chr8,144788864,144790279,8q,1415,protein-coding
TMEM258,chr11,61535973,61560274,11q,24301,protein-coding
ALLC,chr2,3705785,3750261,2p,44476,protein-coding
OR12D2,chr6,29364416,29365448,6p,1032,protein-coding
ZNF730,chr19,23258012,23330021,19p,72009,protein-coding
OR12D1,chr6,29385057,29386003,6p,946,protein-coding
ZCCHC2,chr18,60190240,60254942,18q,64702,protein-coding
REG3A,chr2,79384132,79386879,2p,2747,protein-coding
RBMY1J,chrY,24454970,24564028,Yq,109058,protein-coding
ELOVL4,chr6,80624529,80657297,6q,32768,protein-coding
RPLP1,chr15,69745123,69748255,15q,3132,protein-coding
ZNF724P,chr19,23404401,23433192,19p,28791,NA
PPP1R37,chr19,45594654,45651335,19q,56681,protein-coding
OR11A1,chr6,29393281,29424848,6p,31567,protein-coding
MAT2B,chr5,162930120,162946342,5q,16222,protein-coding
MAPK15,chr8,144798429,144804628,8q,6199,protein-coding
FIBCD1,chr9,133777825,133814673,9q,36848,protein-coding
UPK3BP1,chr7,76633979,76635091,7q,1112,pseudogene
PMS2P11,chr7,76640868,76645170,7q,4302,pseudogene
SPDYE9P,chr7,76651635,76661674,7q,10039,NA
DYNLT3,chrX,37696010,37706890,Xp,10880,protein-coding
FEN1,chr11,61560109,61564716,11q,4607,protein-coding
KDM5C,chrX,53220503,53254604,Xp,34101,protein-coding
ZNF91,chr19,23487793,23578362,19p,90569,protein-coding
CENPF,chr1,214776538,214837931,1q,61393,protein-coding
NUFIP2,chr17,27582854,27621136,17q,38282,protein-coding
CYCSP20,chr7,128757567,128757881,7q,314,pseudogene
SAYSD1,chr6,39071840,39082965,6p,11125,protein-coding
ZNF396,chr18,32946661,32957301,18q,10640,protein-coding
THAP2,chr12,72056789,72074419,12q,17630,protein-coding
P4HB,chr17,79801035,79818570,17q,17535,protein-coding
ZNF343,chr20,2462463,2505348,20p,42885,protein-coding
RNU7-16P,chr7,129045476,129045537,7q,61,pseudogene
TIMM23B,chr10,51371390,51387768,10q,16378,protein-coding
NFATC2,chr20,50003494,50179370,20q,175876,protein-coding
CALCOCO2,chr17,46908350,46943884,17q,35534,protein-coding
EIF4A2,chr3,186500994,186507689,3q,6695,protein-coding
SNRPGP3,chr7,129117716,129117942,7q,226,pseudogene
SSBP3-AS1,chr1,54703710,54704736,1p,1026,ncRNA
USH1C,chr11,17515442,17565963,11p,50521,protein-coding
VIL1,chr2,219283815,219318018,2q,34203,protein-coding
USP9YP19,chrY,27894743,27896353,Yq,1610,pseudogene
CXorf27,chrX,37850070,37850569,Xp,499,NA
NKPD1,chr19,45653008,45663408,19q,10400,protein-coding
CASP3,chr4,185548850,185570663,4q,21813,protein-coding
MIR4730,chr17,78393218,78393293,17q,75,NA
XKRYP5,chrY,27898535,27899017,Yq,482,pseudogene
CDY22P,chrY,27959160,27960713,Yq,1553,pseudogene
DCDC2C,chr2,3751453,3836122,2p,84669,protein-coding
SMC4,chr3,160117062,160152750,3q,35688,protein-coding
KCNK5,chr6,39156749,39197226,6p,40477,protein-coding
TCEB1P17,chrY,28007090,28007415,Yq,325,NA
OFD1P18Y,chrY,28018078,28044800,Yq,26722,pseudogene
MRPL47,chr3,179306073,179322442,3q,16369,protein-coding
CXCL10,chr4,76942273,76944650,4q,2377,protein-coding
MTG1,chr10,135207598,135234811,10q,27213,protein-coding
TRAPPC2P4,chrY,28050665,28053397,Yq,2732,pseudogene
PI4KA,chr22,21061979,21213705,22q,151726,protein-coding
TRAPPC6A,chr19,45666186,45681495,19q,15309,protein-coding
ACOT11,chr1,55007930,55104865,1p,96935,protein-coding
RAB9AP3,chrY,28064470,28065042,Yq,572,pseudogene
SYTL5,chrX,37865835,37988072,Xp,122237,protein-coding
INO80C,chr18,33032194,33077955,18q,45761,protein-coding
USP9YP20,chrY,28069535,28075973,Yq,6438,pseudogene
LAMC3,chr9,133884469,133969860,9q,85391,protein-coding
TMC2,chr20,2517253,2622430,20p,105177,protein-coding
CLEC18C,chr16,70207225,70221264,16q,14039,protein-coding
CXCL11,chr4,76954835,76962568,4q,7733,protein-coding
RPL32P31,chr17,78516003,78516405,17q,402,pseudogene
IGHVIV-44-1,chr14,106945352,106945763,14q,411,pseudogene
RNU1-40P,chrY,28075126,28075289,Yq,163,pseudogene
IGHVII-44-2,chr14,106950148,106950397,14q,249,pseudogene
USP9YP21,chrY,28079980,28082028,Yq,2048,pseudogene
FADS2,chr11,61560452,61634826,11q,74374,protein-coding
XKRYP6,chrY,28089415,28100299,Yq,10884,pseudogene
TMEM57,chr1,25757388,25826700,1p,69312,NA
PRYP4,chrY,28121660,28134216,Yq,12556,pseudogene
PSMD9,chr12,122326637,122356203,12q,29566,protein-coding
RN7SL696P,chr12,79918657,79918950,12q,293,NA
PROCA1,chr17,27030215,27038872,17q,8657,protein-coding
SMPD2,chr6,109761966,109765122,6q,3156,protein-coding
GFRAL,chr6,55192267,55267291,6p,75024,protein-coding
TAOK1,chr17,27717482,27878922,17q,161440,protein-coding
TMEM232,chr5,109624934,110074657,5q,449723,protein-coding
INSIG2,chr2,118846028,118868573,2q,22545,protein-coding
BLOC1S3,chr19,45682003,45685059,19q,3056,protein-coding
HTR3D,chr3,183749332,183757157,3q,7825,protein-coding
NUDT15,chr13,48611703,48621358,13q,9655,protein-coding
GHITM,chr10,85899196,85913001,10q,13805,protein-coding
ACTB,chr7,5566782,5603415,7p,36633,protein-coding
FAM83H,chr8,144806103,144815971,8q,9868,protein-coding
CABP2,chr11,67286383,67290899,11q,4516,protein-coding
COTL1P2,chr17,20467851,20468202,17p,351,pseudogene
KCTD18,chr2,201353675,201384507,2q,30832,protein-coding
PTGES3P5,chr10,110055857,110056290,10q,433,pseudogene
ZSWIM5P2,chr17,20487071,20494493,17p,7422,pseudogene
MEIS3P2,chr17,20492371,20494013,17p,1642,pseudogene
MBIP,chr14,36767770,36789882,14q,22112,protein-coding
MAPKAPK5P1,chr10,110607944,110609319,10q,1375,pseudogene
IGHVII-46-1,chr14,106971752,106971788,14q,36,pseudogene
RN7SKP278,chr10,110700727,110701068,10q,341,pseudogene
IGHV3-47,chr14,106974509,106974954,14q,445,pseudogene
RNU5B-6P,chr10,110944651,110944765,10q,114,pseudogene
RNU6-839P,chr10,110999397,110999504,10q,107,pseudogene
HMGCLL1,chr6,55299167,55444012,6p,144845,protein-coding
IGHVIII-47-1,chr14,106987143,106987473,14q,330,pseudogene
PHB2P1,chr10,111287877,111288766,10q,889,pseudogene
GALNT1,chr18,33161081,33291798,18q,130717,protein-coding
PRIMPOL,chr4,185570767,185616117,4q,45350,protein-coding
B3GNT7,chr2,232260254,232265875,2q,5621,protein-coding
BTF3P15,chr10,111294413,111294748,10q,335,pseudogene
EXOC3L2,chr19,45715879,45737469,19q,21590,protein-coding
IGHVII-49-1,chr14,107020363,107020586,14q,223,pseudogene
MED4,chr13,48627459,48669267,13q,41808,protein-coding
IGHV3-50,chr14,107022105,107022543,14q,438,pseudogene
RRBP1,chr20,17594323,17662940,20p,68617,protein-coding
IGHVIII-51-1,chr14,107039493,107039794,14q,301,NA
TCEB1P11,chrY,28137388,28137719,Yq,331,NA
IGHVII-51-2,chr14,107040702,107040960,14q,258,pseudogene
RN7SL450P,chr10,111764012,111764315,10q,303,NA
CDY23P,chrY,28140831,28141844,Yq,1013,pseudogene
SNRPGP12,chr10,111898972,111899184,10q,212,pseudogene
USP9YP26,chrY,28148401,28155003,Yq,6602,pseudogene
RN7SL719P,chr15,28948669,28948947,15q,278,pseudogene
LDLRAP1,chr1,25870071,25895377,1p,25306,protein-coding
SYN3,chr22,32908539,33454358,22q,545819,protein-coding
HSFY8P,chrY,28157582,28158384,Yq,802,pseudogene
LASP1,chr17,37026112,37078023,17q,51911,protein-coding
WHAMMP2,chr15,28982729,29002537,15q,19808,pseudogene
GSTP1,chr11,67351066,67354131,11q,3065,protein-coding
OFD1P15Y,chrY,28201926,28234640,Yq,32714,pseudogene
KCNK2,chr1,215179118,215410436,1q,231318,protein-coding
PDZD8,chr10,119040000,119134978,10q,94978,protein-coding
HMGB3P5,chr10,112210387,112210998,10q,611,pseudogene
FGFBP3,chr10,93666346,93669240,10q,2894,protein-coding
ATP6V0E2,chr7,149570057,149577784,7q,7727,protein-coding
NUP54,chr4,77035812,77069668,4q,33856,protein-coding
SRPX,chrX,38008589,38080696,Xp,72107,protein-coding
RPL7P35,chr10,112309873,112310612,10q,739,pseudogene
RBMY2DP,chrY,28269821,28279455,Yq,9634,pseudogene
TTC27,chr2,32853099,33046118,2p,193019,protein-coding
AKR1B10P1,chr10,69510042,69510983,10q,941,pseudogene
NOP56,chr20,2632791,2639039,20p,6248,protein-coding
NCL,chr2,232318242,232348352,2q,30110,protein-coding
FAM151A,chr1,55074855,55089229,1p,14374,protein-coding
RN7SL686P,chr10,112393589,112393883,10q,294,NA
CD80,chr3,119243140,119278449,3q,35309,protein-coding
RN7SKP288,chr10,112516214,112516481,10q,267,pseudogene
RNU6-1250P,chr10,69568260,69568366,10q,106,pseudogene
PKD1,chr16,2138711,2185899,16p,47188,protein-coding
G6PD,chrX,153759606,153775787,Xq,16181,protein-coding
RNA5SP327,chr10,112520900,112521000,10q,100,pseudogene
RN7SL394P,chr10,69585068,69585358,10q,290,pseudogene
DNAJC19P1,chr10,69593521,69593839,10q,318,pseudogene
PDCD4-AS1,chr10,112629626,112631991,10q,2365,ncRNA
RPL12P8,chr10,69634090,69634672,10q,582,pseudogene
TMEM170B,chr6,11537938,11583757,6p,45819,protein-coding
MIR4680,chr10,112657848,112657913,10q,65,NA
TAF10,chr11,6627526,6633898,11p,6372,protein-coding
CCDC63,chr12,111284573,111345339,12q,60766,protein-coding
RN7SL220P,chr10,69767477,69767774,10q,297,pseudogene
IGBP1P1,chr14,35408530,35409693,14q,1163,pseudogene
RBM15B,chr3,51428731,51435330,3p,6599,protein-coding
SOX11,chr2,5832799,5841516,2p,8717,protein-coding
POU5F1P5,chr10,69769962,69770619,10q,657,pseudogene
ZNF675,chr19,23708433,23870022,19p,161589,protein-coding
RPL7AP3,chr14,35704386,35704857,14q,471,pseudogene
TTK,chr6,80713604,80752244,6q,38640,protein-coding
RPL9P3,chr14,35731668,35732242,14q,574,pseudogene
RNA5SP363,chr12,80272085,80272199,12q,114,pseudogene
DOCK1,chr10,128593978,129250781,10q,656803,protein-coding
CRISP2,chr6,49660073,49681274,6p,21201,protein-coding
SNRPGP20,chr12,80382794,80382998,12q,204,pseudogene
YY1,chr14,100704635,100749129,14q,44494,protein-coding
RPL7P38,chr12,80422673,80423411,12q,738,pseudogene
VPRBP,chr3,51433298,51534010,3p,100712,NA
IL11RA,chr9,34650699,34661889,9p,11190,protein-coding
RNU6-1200P,chr3,117263052,117263158,3q,106,pseudogene
C18orf21,chr18,33552046,33559241,18q,7195,NA
RNU7-106P,chr12,80462471,80462537,12q,66,pseudogene
CTNNA2,chr2,79412357,80875905,2p,1463548,protein-coding
EMX2,chr10,119301955,119309056,10q,7101,protein-coding
CMPK2,chr2,6980701,7006766,2p,26065,protein-coding
RN7SKP261,chr12,80737295,80737572,12q,277,pseudogene
AIF1L,chr9,133971863,133998539,9q,26676,protein-coding
IGHV3-52,chr14,107042360,107042810,14q,450,pseudogene
SPRN,chr10,135234170,135382916,10q,148746,protein-coding
CKM,chr19,45809672,45826235,19q,16563,protein-coding
STAG3,chr7,99775186,99819111,7q,43925,protein-coding
IGHVII-53-1,chr14,107055682,107055936,14q,254,pseudogene
C11orf72,chr11,67370351,67374177,11q,3826,NA
UBN2,chr7,138915102,138992982,7q,77880,protein-coding
IGHV3-54,chr14,107057358,107057795,14q,437,pseudogene
RNU1-72P,chr7,129124345,129124497,7q,152,pseudogene
IGHV4-55,chr14,107062111,107062561,14q,450,pseudogene
ZNF17,chr19,57922531,57933307,19q,10776,protein-coding
IGHV7-56,chr14,107065772,107066206,14q,434,pseudogene
ZNF681,chr19,23921997,23941693,19p,19696,protein-coding
IGHV3-57,chr14,107074907,107075186,14q,279,pseudogene
ZNF764,chr16,30565085,30569819,16p,4734,protein-coding
RNA5SP244,chr7,129396106,129396217,7q,111,pseudogene
IGHV3-60,chr14,107087202,107087658,14q,456,pseudogene
RNFT1P3,chr17,20646646,20657814,17p,11168,pseudogene
MIR182,chr7,129410223,129410332,7q,109,NA
MIR96,chr7,129414532,129414609,7q,77,NA
MIR183,chr7,129414745,129414854,7q,109,NA
ACVR1C,chr2,158383279,158485517,2q,102238,protein-coding
KLRG1,chr12,9102640,9163356,12p,60716,protein-coding
TIMP3,chr22,33197687,33259030,22q,61343,protein-coding
CENPU,chr4,185615772,185655287,4q,39515,protein-coding
CD300A,chr17,72462555,72480933,17q,18378,protein-coding
HNRNPA1P19,chr17,20674371,20674740,17p,369,pseudogene
ZNF749,chr19,57946697,57956853,19q,10156,protein-coding
RNA5SP245,chr7,129667117,129667237,7q,120,pseudogene
RPL13AP6,chr10,112696380,112696991,10q,611,pseudogene
ITM2B,chr13,48807294,48837063,13q,29769,protein-coding
CYP2E1,chr10,135333910,135374724,10q,40814,protein-coding
TES,chr7,115850547,115898837,7q,48290,protein-coding
OLA1P2,chr17,20678955,20680218,17p,1263,pseudogene
RPSAP58,chr19,23945807,24010937,19p,65130,NA
SUMO2P3,chr7,55799837,55800124,7p,287,pseudogene
SLC6A13,chr12,329789,372039,12p,42250,protein-coding
MIR548E,chr10,112748684,112748771,10q,87,NA
CICP11,chr7,55804472,55807289,7p,2817,pseudogene
RN7SL405P,chr17,42961354,42961639,17q,285,pseudogene
RSAD2,chr2,7005937,7038370,2p,32433,protein-coding
BTBD7P2,chr10,113082536,113083155,10q,619,pseudogene
ATP9A,chr20,50213053,50385173,20q,172120,protein-coding
PSPHP1,chr7,55832490,55840981,7p,8491,pseudogene
ZNF688,chr16,30580667,30584055,16p,3388,protein-coding
RNU6-1126P,chr7,55857061,55857167,7p,106,pseudogene
VN1R1,chr19,57966542,57967854,19q,1312,protein-coding
CICP12,chr7,55865727,55866569,7p,842,pseudogene
RAB11FIP2,chr10,119764427,119806114,10q,41687,protein-coding
GUCY2GP,chr10,114067939,114116332,10q,48393,pseudogene
MRPL33,chr2,27994584,28210954,2p,216370,protein-coding
RN7SL64P,chr7,55960419,55960689,7p,270,NA
HTR3C,chr3,183770835,183778459,3q,7624,protein-coding
ZNF726,chr19,24097678,24127961,19p,30283,protein-coding
SNORA15,chr7,56128163,56128295,7p,132,snoRNA
RPRD1A,chr18,33564350,33647539,18q,83189,protein-coding
WNT8A,chr5,137419581,137428054,5q,8473,protein-coding
ZNF772,chr19,57978031,57988938,19q,10907,protein-coding
TMEM175,chr4,926175,952444,4p,26269,protein-coding
KCTD3,chr1,215740735,215795149,1q,54414,protein-coding
CCNJP1,chr7,56296327,56297475,7p,1148,pseudogene
TPP1,chr11,6634000,6640692,11p,6692,protein-coding
RN7SKP202,chr10,69917836,69918165,10q,329,pseudogene
ATP2B2,chr3,10365707,10749716,3p,384009,protein-coding
DNAJC8P1,chr14,35899466,35899837,14q,371,pseudogene
EFCAB13,chr17,45400656,45518678,17q,118022,protein-coding
KRT19P4,chr10,70020314,70021256,10q,942,pseudogene
RPL31P7,chr17,78576349,78576741,17q,392,pseudogene
RNU6-1335P,chr7,56407924,56408030,7p,106,pseudogene
SCDP1,chr17,20687958,20689038,17p,1080,pseudogene
RASIP1,chr19,49223844,49243978,19q,20134,protein-coding
RPS3AP4,chr14,35937478,35938536,14q,1058,pseudogene
EXOSC6,chr16,70284134,70285833,16q,1699,protein-coding
KRT18P6,chr14,35981031,35982295,14q,1264,pseudogene
DTHD1,chr4,36283244,36347378,4p,64134,protein-coding
RAD54L2,chr3,51575160,51702683,3p,127523,protein-coding
QRSL1P3,chr14,36235001,36236316,14q,1315,pseudogene
ZNF785,chr16,30585061,30597092,16p,12031,protein-coding
MAP3K14-AS1,chr17,43325292,43345997,17q,20705,ncRNA
ABCA10,chr17,67143355,67240987,17q,97632,protein-coding
ABHD17AP6,chr17,20717933,20747570,17p,29637,pseudogene
KCNK17,chr6,39266777,39282329,6p,15552,protein-coding
NUTF2P2,chr14,36289043,36289426,14q,383,pseudogene
ARHGAP12,chr10,32094365,32217742,10p,123377,protein-coding
SGOL2,chr2,201374731,201448505,2q,73774,NA
MIR335,chr7,130135952,130136045,7q,93,NA
NDUFV1,chr11,67374323,67380006,11q,5683,protein-coding
RNA5SP246,chr7,130287672,130287790,7q,118,pseudogene
MMD,chr17,53469974,53499353,17q,29379,protein-coding
AARS,chr16,70286198,70323446,16q,37248,NA
MIR617,chr12,81226312,81226408,12q,96,NA
PLS1,chr3,142315229,142432506,3q,117277,protein-coding
MIR618,chr12,81329515,81329612,12q,97,NA
MIR4699,chr12,81552167,81552240,12q,73,NA
RPGR,chrX,38128416,38186817,Xp,58401,protein-coding
CPM,chr12,69235977,69365350,12q,129373,protein-coding
ZNF689,chr16,30613879,30635333,16p,21454,protein-coding
MAP3K14,chr17,43340488,43394414,17q,53926,protein-coding
MROH7,chr1,55107463,55175939,1p,68476,protein-coding
ZBTB16,chr11,113930315,114121398,11q,191083,protein-coding
ILF2P2,chr14,36523403,36524519,14q,1116,pseudogene
HTR3E,chr3,183814852,183824783,3q,9931,protein-coding
ACACA,chr17,35441923,35766909,17q,324986,protein-coding
PSD,chr10,104162376,104181296,10q,18920,protein-coding
C7orf55,chr7,139024203,139031065,7q,6862,NA
NDUFB5,chr3,179322478,179345435,3q,22957,protein-coding
RB1,chr13,48877887,49056122,13q,178235,protein-coding
RPL12P37,chr17,78950254,78950748,17q,494,pseudogene
AGAP7,chr10,51464162,51486327,10q,22165,NA
SUB1,chr5,32531739,32604185,5p,72446,protein-coding
LARGE,chr22,33558212,34318829,22q,760617,NA
ZNF419,chr19,57999079,58006048,19q,6969,protein-coding
LINC00609,chr14,36539633,36634494,14q,94861,ncRNA
HDX,chrX,83572882,83757487,Xq,184605,protein-coding
TENM2,chr5,166711804,167691162,5q,979358,protein-coding
APLN,chrX,128779240,128788933,Xq,9693,protein-coding
ADPRH,chr3,119298115,119308792,3q,10677,protein-coding
IZUMO1,chr19,49244109,49250166,19q,6057,protein-coding
BLOC1S1,chr12,56109820,56113871,12q,4051,protein-coding
BAIAP2-AS1,chr17,79002933,79008501,17q,5568,NA
SLC39A6,chr18,33688495,33709348,18q,20853,protein-coding
RNA5SP319,chr10,70221164,70221282,10q,118,pseudogene
FAM204A,chr10,120065401,120101840,10q,36439,protein-coding
SCRIB,chr8,144873090,144897549,8q,24459,protein-coding
XPNPEP2,chrX,128872950,128903514,Xq,30564,protein-coding
TMEM14D,chr10,70304246,70304590,10q,344,NA
COX20P1,chr10,70392128,70392484,10q,356,pseudogene
CCL27,chr9,34661877,34664045,9p,2168,protein-coding
ZDHHC3,chr3,44956749,45017677,3p,60928,protein-coding
PPIP5K1,chr15,43825660,43882430,15q,56770,protein-coding
PRR14,chr16,30662038,30667761,16p,5723,protein-coding
NME5,chr5,137450866,137475132,5q,24266,protein-coding
PTCSC3,chr14,36605314,36645674,14q,40360,ncRNA
KCNK16,chr6,39282474,39290744,6p,8270,protein-coding
NNMT,chr11,114128509,114184007,11q,55498,protein-coding
BIN1,chr2,127805603,127864931,2q,59328,protein-coding
SNORD98,chr10,70514929,70514995,10q,66,snoRNA
MIR1254-1,chr10,70519075,70519171,10q,96,NA
RNU6-697P,chr10,70606561,70606667,10q,106,pseudogene
RNU6-571P,chr10,70671409,70671515,10q,106,pseudogene
FUT1,chr19,49251268,49258647,19q,7379,protein-coding
SLC25A29,chr14,100757448,100772884,14q,15436,protein-coding
TMEM100,chr17,53796988,53809482,17q,12494,protein-coding
CICP8,chr7,56430151,56432963,7p,2812,pseudogene
RNU6-1052P,chr7,56469763,56469866,7p,103,pseudogene
RBM45,chr2,178977151,179003738,2q,26587,protein-coding
NUP214,chr9,134000948,134110057,9q,109109,protein-coding
CAPN11,chr6,44126548,44152139,6p,25591,protein-coding
ZNF254,chr19,24216276,24312654,19p,96378,protein-coding
MAPK7,chr17,19281034,19286857,17p,5823,protein-coding
FGF21,chr19,49258816,49261587,19q,2771,protein-coding
BMP5,chr6,55618443,55740362,6p,121919,protein-coding
A2M,chr12,9220260,9268825,12p,48565,protein-coding
KIAA1239,chr4,37245842,37451087,4p,205245,NA
ABHD15,chr17,27887565,27894155,17q,6590,protein-coding
WDR4,chr21,44263204,44299678,21q,36474,protein-coding
